Query,Query url,Query description,Result,Result url,Result description,User evaluation
asakusafw/asakusafw,https://github.com/ogrisel/pignlproc,Asakusa Framework,ogrisel/pignlproc,https://github.com/asakusafw/asakusafw,Apache Pig utilities to build training corpora for machine learning / NLP out of public Wikipedia and DBpedia dumps.,3
asakusafw/asakusafw,https://github.com/sonalgoyal/hiho,Asakusa Framework,sonalgoyal/hiho,https://github.com/asakusafw/asakusafw,Hadoop Data Integration with various databases; ftp servers; salesforce. Incremental update; dedup; append; merge your data on Hadoop.,2
asakusafw/asakusafw,https://github.com/marginweb/Wikipedia-noSQL-Benchmark,Asakusa Framework,marginweb/Wikipedia-noSQL-Benchmark,https://github.com/asakusafw/asakusafw,A simple benchmark of noSQL databases for both read/update and MapReduce performances,3
asakusafw/asakusafw,https://github.com/mozilla-metrics/akela,Asakusa Framework,mozilla-metrics/akela,https://github.com/asakusafw/asakusafw,A bunch of utility classes for Java; Hadoop; HBase; Pig; etc.,3
asakusafw/asakusafw,https://github.com/datasalt/pangool,Asakusa Framework,datasalt/pangool,https://github.com/asakusafw/asakusafw,Tuple MapReduce for Hadoop: Hadoop API made easy,3

AskNowQA/AutoSPARQL,https://github.com/rdfhdt/hdt-java,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,rdfhdt/hdt-java,https://github.com/AskNowQA/AutoSPARQL,HDT Java library and tools.,3
AskNowQA/AutoSPARQL,https://github.com/castagna/jena-examples,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,castagna/jena-examples,https://github.com/AskNowQA/AutoSPARQL,A collection of ready to use; small and self contained examples on how to use Apache Jena,3
AskNowQA/AutoSPARQL,https://github.com/AKSW/RDFUnit,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,AKSW/RDFUnit,https://github.com/AskNowQA/AutoSPARQL,An RDF Unit Testing Suite,3
AskNowQA/AutoSPARQL,https://github.com/AKSW/Sparqlify,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,AKSW/Sparqlify,https://github.com/AskNowQA/AutoSPARQL,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,3
AskNowQA/AutoSPARQL,https://github.com/AKSW/SPARQL2NL,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,AKSW/SPARQL2NL,https://github.com/AskNowQA/AutoSPARQL,converts SPARQL queries to natural language expressions,4

blackberry/KaBoom,https://github.com/YahooArchive/samoa,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,YahooArchive/samoa,https://github.com/blackberry/KaBoom,SAMOA (Scalable Advanced Massive Online Analysis) is an open-source platform for mining big data streams.,2
blackberry/KaBoom,https://github.com/confluentinc/camus,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,confluentinc/camus,https://github.com/blackberry/KaBoom,Mirror of Linkedin's Camus,4
blackberry/KaBoom,https://github.com/reachkrishnaraj/kafka-elasticsearch-standalone-consumer,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,reachkrishnaraj/kafka-elasticsearch-standalone-consumer,https://github.com/blackberry/KaBoom,Kafka Standalone Consumer [Indexer] will read messages from Kafka; in batches; process and bulk-index them into ElasticSearch.,3
blackberry/KaBoom,https://github.com/Conductor/kangaroo,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,Conductor/kangaroo,https://github.com/blackberry/KaBoom,Hadoop utilities for Kafka; S3; and more,3
blackberry/KaBoom,https://github.com/amient/kafka-hadoop-loader,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,amient/kafka-hadoop-loader,https://github.com/blackberry/KaBoom,Hadoop Job for schemaless incremental loading of messages from Kafka topics onto hdfs with configurable output partitioning.,3

bonigarcia/webdrivermanager,https://github.com/FINRAOS/JTAF-ExtWebDriver,Automatic Selenium WebDriver binaries management in runtime for Java,FINRAOS/JTAF-ExtWebDriver,https://github.com/bonigarcia/webdrivermanager,Extensions for WebDriver is an enhancement to the powerful WebDriver API; with robust features that keep your browser automation running smoothly. It includes a widget library; improved session management and extended functions over the existing WebDriver API.,3
bonigarcia/webdrivermanager,https://github.com/Ardesco/selenium-standalone-server-plugin,Automatic Selenium WebDriver binaries management in runtime for Java,Ardesco/selenium-standalone-server-plugin,https://github.com/bonigarcia/webdrivermanager,A Maven plugin that will download the WebDriver stand alone server executables for use in your mavenised Selenium project.,4
bonigarcia/webdrivermanager,https://github.com/sayems/java.webdriver,Automatic Selenium WebDriver binaries management in runtime for Java,sayems/java.webdriver,https://github.com/bonigarcia/webdrivermanager,Browser test automation using Selenium WebDriver in Java,4
bonigarcia/webdrivermanager,https://github.com/FluentLenium/FluentLenium,Automatic Selenium WebDriver binaries management in runtime for Java,FluentLenium/FluentLenium,https://github.com/bonigarcia/webdrivermanager,FluentLenium helps you writing readable; reusable; reliable and resilient UI functional tests for the browser.,3
bonigarcia/webdrivermanager,https://github.com/webdriverextensions/webdriverextensions,Automatic Selenium WebDriver binaries management in runtime for Java,webdriverextensions/webdriverextensions,https://github.com/bonigarcia/webdrivermanager,Make your WebDriver based Selenium tests more readable; reusability and maintainable by using WebDriver Extensions!,3

caelum/vraptor,https://github.com/karussell/Jetwick,Simple Java Web MVC Framework,karussell/Jetwick,https://github.com/caelum/vraptor,[not maintained] Custom Twitter Search via ElasticSearch&Wicket,1
caelum/vraptor,https://github.com/Salaboy/emergency-service-drools-app,Simple Java Web MVC Framework,Salaboy/emergency-service-drools-app,https://github.com/caelum/vraptor,Emergency Service Drools Application,2
caelum/vraptor,https://github.com/heroku/heroku.jar,Simple Java Web MVC Framework,heroku/heroku.jar,https://github.com/caelum/vraptor,Java Wrapper for Heroku API,2
caelum/vraptor,https://github.com/hibernate/hibernate-orm,Simple Java Web MVC Framework,hibernate/hibernate-orm,https://github.com/caelum/vraptor,Hibernate's core Object/Relational Mapping functionality,1
caelum/vraptor,https://github.com/caelum/restfulie-java,Simple Java Web MVC Framework,caelum/restfulie-java,https://github.com/caelum/vraptor,restfulie implementation in java; with support to vraptor,4

caelum/vraptor4,https://github.com/blad/solid-android,A Java web MVC action-based framework,blad/solid-android,https://github.com/caelum/vraptor4,Android TheNounProject Thumbnail Browser.,1
caelum/vraptor4,https://github.com/hibernate/hibernate-orm,A Java web MVC action-based framework,hibernate/hibernate-orm,https://github.com/caelum/vraptor4,Hibernate's core Object/Relational Mapping functionality,1
caelum/vraptor4,https://github.com/Dreampie/Resty,A Java web MVC action-based framework,Dreampie/Resty,https://github.com/caelum/vraptor4,The minimalist framework of RESTful(server and client) - Resty,1
caelum/vraptor4,https://github.com/spring-projects/spring-mvc-showcase,A Java web MVC action-based framework,spring-projects/spring-mvc-showcase,https://github.com/caelum/vraptor4,Demonstrates the features of the Spring MVC web framework,3
caelum/vraptor4,https://github.com/caelum/vraptor,A Java web MVC action-based framework,caelum/vraptor,https://github.com/caelum/vraptor4,Simple Java Web MVC Framework,4

codelibs/elasticsearch-cluster-runner,https://github.com/alexcojocaru/elasticsearch-maven-plugin,Elasticsearch Cluster Launcher on One JVM Instance,alexcojocaru/elasticsearch-maven-plugin,https://github.com/codelibs/elasticsearch-cluster-runner,A Maven plugin to run a single node Elasticsearch cluster during the integration test phase of a build,4
codelibs/elasticsearch-cluster-runner,https://github.com/elastic/elasticsearch-support-diagnostics,Elasticsearch Cluster Launcher on One JVM Instance,elastic/elasticsearch-support-diagnostics,https://github.com/codelibs/elasticsearch-cluster-runner,Support diagnostics utility for elasticsearch and logstash,2
codelibs/elasticsearch-cluster-runner,https://github.com/hibernate/hibernate-search,Elasticsearch Cluster Launcher on One JVM Instance,hibernate/hibernate-search,https://github.com/codelibs/elasticsearch-cluster-runner,Hibernate Search: full-text search for domain model,3
codelibs/elasticsearch-cluster-runner,https://github.com/codelibs/fess,Elasticsearch Cluster Launcher on One JVM Instance,codelibs/fess,https://github.com/codelibs/elasticsearch-cluster-runner,Fess is very powerful and easily deployable Enterprise Search Server.,3
codelibs/elasticsearch-cluster-runner,https://github.com/spinscale/elasticsearch-suggest-plugin,Elasticsearch Cluster Launcher on One JVM Instance,spinscale/elasticsearch-suggest-plugin,https://github.com/codelibs/elasticsearch-cluster-runner,Plugin for elasticsearch which uses the lucene FSTSuggester,1

conductor-framework/conductor,https://github.com/LinuxSuRen/phoenix.webui.framework,The Selenium framework that takes you where you want to go,LinuxSuRen/phoenix.webui.framework,https://github.com/conductor-framework/conductor,基于WebDriver的WebUI自动化测试框架,3
conductor-framework/conductor,https://github.com/FluentLenium/FluentLenium,The Selenium framework that takes you where you want to go,FluentLenium/FluentLenium,https://github.com/conductor-framework/conductor,FluentLenium helps you writing readable; reusable; reliable and resilient UI functional tests for the browser.,3
conductor-framework/conductor,https://github.com/sayems/java.webdriver,The Selenium framework that takes you where you want to go,sayems/java.webdriver,https://github.com/conductor-framework/conductor,Browser test automation using Selenium WebDriver in Java,3
conductor-framework/conductor,https://github.com/Cognifide/bobcat,The Selenium framework that takes you where you want to go,Cognifide/bobcat,https://github.com/conductor-framework/conductor,Bobcat is an automated testing framework for functional testing of web applications.,4
conductor-framework/conductor,https://github.com/tarun3kumar/seleniumtestsframework,The Selenium framework that takes you where you want to go,tarun3kumar/seleniumtestsframework,https://github.com/conductor-framework/conductor,STF is a webdriver based test automation library which generates comprehensible tests reports comparable to BDD framework; and yet better since no extra test steps / configuration are required. Not just this; STF has tons of other useful features described at -,4

Conductor/kangaroo,https://github.com/confluentinc/kafka-connect-elasticsearch,Hadoop utilities for Kafka; S3; and more,confluentinc/kafka-connect-elasticsearch,https://github.com/Conductor/kangaroo,Kafka Connect Elasticsearch connector,2
Conductor/kangaroo,https://github.com/alexholmes/hiped2,Hadoop utilities for Kafka; S3; and more,alexholmes/hiped2,https://github.com/Conductor/kangaroo,Source code that accompanies the book 'Hadoop in Practice; Second Edition'.,3
Conductor/kangaroo,https://github.com/blackberry/KaBoom,Hadoop utilities for Kafka; S3; and more,blackberry/KaBoom,https://github.com/Conductor/kangaroo,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,3
Conductor/kangaroo,https://github.com/miniway/kafka-hadoop-consumer,Hadoop utilities for Kafka; S3; and more,miniway/kafka-hadoop-consumer,https://github.com/Conductor/kangaroo,Another kafka-hadoop-consumer,2
Conductor/kangaroo,https://github.com/amient/kafka-hadoop-loader,Hadoop utilities for Kafka; S3; and more,amient/kafka-hadoop-loader,https://github.com/Conductor/kangaroo,Hadoop Job for schemaless incremental loading of messages from Kafka topics onto hdfs with configurable output partitioning.,3

dadoonet/spring-elasticsearch,https://github.com/hibernate/hibernate-search,Spring factories for elasticsearch,hibernate/hibernate-search,https://github.com/dadoonet/spring-elasticsearch,Hibernate Search: full-text search for domain model,3
dadoonet/spring-elasticsearch,https://github.com/FDVSolutions/DynamicJasper,Spring factories for elasticsearch,FDVSolutions/DynamicJasper,https://github.com/dadoonet/spring-elasticsearch,Dynamic Reports using Jasper Reports,2
dadoonet/spring-elasticsearch,https://github.com/hibernate/hibernate-orm,Spring factories for elasticsearch,hibernate/hibernate-orm,https://github.com/dadoonet/spring-elasticsearch,Hibernate's core Object/Relational Mapping functionality,2
dadoonet/spring-elasticsearch,https://github.com/FluentLenium/FluentLenium,Spring factories for elasticsearch,FluentLenium/FluentLenium,https://github.com/dadoonet/spring-elasticsearch,FluentLenium helps you writing readable; reusable; reliable and resilient UI functional tests for the browser.,2
dadoonet/spring-elasticsearch,https://github.com/karussell/Jetwick,Spring factories for elasticsearch,karussell/Jetwick,https://github.com/dadoonet/spring-elasticsearch,[not maintained] Custom Twitter Search via ElasticSearch&Wicket,3

datasalt/pangool,https://github.com/CeON/CoAnSys,Tuple MapReduce for Hadoop: Hadoop API made easy,CeON/CoAnSys,https://github.com/datasalt/pangool,Content Analysis System is a framework for mining scientific publications using Apache Hadoop.,4
datasalt/pangool,https://github.com/javanna/elasticsearch-river-solr,Tuple MapReduce for Hadoop: Hadoop API made easy,javanna/elasticsearch-river-solr,https://github.com/datasalt/pangool,Solr River plugin for elasticsearch,2
datasalt/pangool,https://github.com/pranab/chombo,Tuple MapReduce for Hadoop: Hadoop API made easy,pranab/chombo,https://github.com/datasalt/pangool,Big Data ETL and Utilities for Hadoop Map Reduce; Spark and Storm,3
datasalt/pangool,https://github.com/ncolomer/elasticsearch-osmosis-plugin,Tuple MapReduce for Hadoop: Hadoop API made easy,ncolomer/elasticsearch-osmosis-plugin,https://github.com/datasalt/pangool,An Osmosis plugin that index OpenStreetMap data into elasticsearch,2
datasalt/pangool,https://github.com/asakusafw/asakusafw,Tuple MapReduce for Hadoop: Hadoop API made easy,asakusafw/asakusafw,https://github.com/datasalt/pangool,Asakusa Framework,4

elastic/elasticsearch-metrics-reporter-java,https://github.com/lintool/Cloud9,Metrics reporter; which reports to elasticsearch,lintool/Cloud9,https://github.com/elastic/elasticsearch-metrics-reporter-java,Cloud9 is a Hadoop toolkit for working with big data,2
elastic/elasticsearch-metrics-reporter-java,https://github.com/searchbox-io/Jest,Metrics reporter; which reports to elasticsearch,searchbox-io/Jest,https://github.com/elastic/elasticsearch-metrics-reporter-java,Elasticsearch Java Rest Client.,3
elastic/elasticsearch-metrics-reporter-java,https://github.com/vhyza/elasticsearch-analysis-lemmagen,Metrics reporter; which reports to elasticsearch,vhyza/elasticsearch-analysis-lemmagen,https://github.com/elastic/elasticsearch-metrics-reporter-java,Elasticsearch lemmatizer for 15 languages,3
elastic/elasticsearch-metrics-reporter-java,https://github.com/palantir/stash-codesearch-plugin,Metrics reporter; which reports to elasticsearch,palantir/stash-codesearch-plugin,https://github.com/elastic/elasticsearch-metrics-reporter-java,Provides global repository; commit; and file content search for Atlassian Stash instances,3
elastic/elasticsearch-metrics-reporter-java,https://github.com/davidB/metrics-influxdb,Metrics reporter; which reports to elasticsearch,davidB/metrics-influxdb,https://github.com/elastic/elasticsearch-metrics-reporter-java,A reporter for metrics which announces measurements to an InfluxDB server.,2

elastic/elasticsearch-support-diagnostics,https://github.com/klarna/HiveRunner,Support diagnostics utility for elasticsearch and logstash,klarna/HiveRunner,https://github.com/elastic/elasticsearch-support-diagnostics,An Open Source unit test framework for hadoop hive queries based on JUnit4,2
elastic/elasticsearch-support-diagnostics,https://github.com/naman14/Timber,Support diagnostics utility for elasticsearch and logstash,naman14/Timber,https://github.com/elastic/elasticsearch-support-diagnostics,Material Design Music Player,1
elastic/elasticsearch-support-diagnostics,https://github.com/hibernate/hibernate-search,Support diagnostics utility for elasticsearch and logstash,hibernate/hibernate-search,https://github.com/elastic/elasticsearch-support-diagnostics,Hibernate Search: full-text search for domain model,3
elastic/elasticsearch-support-diagnostics,https://github.com/searchbox-io/Jest,Support diagnostics utility for elasticsearch and logstash,searchbox-io/Jest,https://github.com/elastic/elasticsearch-support-diagnostics,Elasticsearch Java Rest Client.,3
elastic/elasticsearch-support-diagnostics,https://github.com/codelibs/elasticsearch-cluster-runner,Support diagnostics utility for elasticsearch and logstash,codelibs/elasticsearch-cluster-runner,https://github.com/elastic/elasticsearch-support-diagnostics,Elasticsearch Cluster Launcher on One JVM Instance,4

GoogleCloudPlatform/bigdata-interop,https://github.com/qubole/quark,Libraries and tools for interoperability between Hadoop-related open-source software and Google Cloud Platform.,qubole/quark,https://github.com/GoogleCloudPlatform/bigdata-interop,Quark is a data virtualization engine over analytic databases.,2
GoogleCloudPlatform/bigdata-interop,https://github.com/msathis/SQLToNoSQLImporter,Libraries and tools for interoperability between Hadoop-related open-source software and Google Cloud Platform.,msathis/SQLToNoSQLImporter,https://github.com/GoogleCloudPlatform/bigdata-interop,Solr like data import handler to migrate data from sql systems to nosql,1
GoogleCloudPlatform/bigdata-interop,https://github.com/awslabs/emr-dynamodb-connector,Libraries and tools for interoperability between Hadoop-related open-source software and Google Cloud Platform.,awslabs/emr-dynamodb-connector,https://github.com/GoogleCloudPlatform/bigdata-interop,Implementations of open source Apache Hadoop/Hive interfaces which allow for ingesting data from Amazon DynamoDB,3
GoogleCloudPlatform/bigdata-interop,https://github.com/avthart/spring-boot-axon-sample,Libraries and tools for interoperability between Hadoop-related open-source software and Google Cloud Platform.,avthart/spring-boot-axon-sample,https://github.com/GoogleCloudPlatform/bigdata-interop,Sample application using Spring Boot; Axon; ElasticSearch; AngularJS and Websockets,1
GoogleCloudPlatform/bigdata-interop,https://github.com/dsyer/spring-boot-ratpack,Libraries and tools for interoperability between Hadoop-related open-source software and Google Cloud Platform.,dsyer/spring-boot-ratpack,https://github.com/GoogleCloudPlatform/bigdata-interop,Spring Boot wrapper for Ratpack,2

huangchen007/elasticsearch-rest-command,https://github.com/allwefantasy/ServiceFramework,Restful pipeline command support plugin for Elasticsearch,allwefantasy/ServiceFramework,https://github.com/huangchen007/elasticsearch-rest-command,Java MVC framework; agile; fast; rich domain model; made especially for server side of mobile application (一个敏捷，快速，富领域模型的Java MVC 框架，专为 移动应用后端量身定做),2
huangchen007/elasticsearch-rest-command,https://github.com/salyh/elasticsearch-imap,Restful pipeline command support plugin for Elasticsearch,salyh/elasticsearch-imap,https://github.com/huangchen007/elasticsearch-rest-command,IMAP and POP3 email importer for Elasticsearch (no river anymore),2
huangchen007/elasticsearch-rest-command,https://github.com/jaibeermalik/searchanalytics-bigdata,Restful pipeline command support plugin for Elasticsearch,jaibeermalik/searchanalytics-bigdata,https://github.com/huangchen007/elasticsearch-rest-command,Customer Product search clicks analytics using big data Hadoop; Hive; Oozie; ElasticSearch; Akka; Spring Data,3
huangchen007/elasticsearch-rest-command,https://github.com/ameizi/elasticsearch-jest-example,Restful pipeline command support plugin for Elasticsearch,ameizi/elasticsearch-jest-example,https://github.com/huangchen007/elasticsearch-rest-command,ElasticSearch Java Rest Client Examples,4
huangchen007/elasticsearch-rest-command,https://github.com/karussell/ElasticSearchExample,Restful pipeline command support plugin for Elasticsearch,karussell/ElasticSearchExample,https://github.com/huangchen007/elasticsearch-rest-command,[not maintained] Example using ElasticSearch and a UI,4

javanna/elasticsearch-river-solr,https://github.com/datasalt/pangool,Solr River plugin for elasticsearch,datasalt/pangool,https://github.com/javanna/elasticsearch-river-solr,Tuple MapReduce for Hadoop: Hadoop API made easy,2
javanna/elasticsearch-river-solr,https://github.com/karussell/ElasticSearchExample,Solr River plugin for elasticsearch,karussell/ElasticSearchExample,https://github.com/javanna/elasticsearch-river-solr,[not maintained] Example using ElasticSearch and a UI,1
javanna/elasticsearch-river-solr,https://github.com/ncolomer/elasticsearch-osmosis-plugin,Solr River plugin for elasticsearch,ncolomer/elasticsearch-osmosis-plugin,https://github.com/javanna/elasticsearch-river-solr,An Osmosis plugin that index OpenStreetMap data into elasticsearch,2
javanna/elasticsearch-river-solr,https://github.com/mariamhakobyan/elasticsearch-river-kafka,Solr River plugin for elasticsearch,mariamhakobyan/elasticsearch-river-kafka,https://github.com/javanna/elasticsearch-river-solr,Kafka River Plugin for ElasticSearch,3
javanna/elasticsearch-river-solr,https://github.com/srecon/elasticsearch-cassandra-river,Solr River plugin for elasticsearch,srecon/elasticsearch-cassandra-river,https://github.com/javanna/elasticsearch-river-solr, ,3

javanna/elasticshell,https://github.com/sonian/elasticsearch-jetty,A javascript shell for elasticsearch,sonian/elasticsearch-jetty,https://github.com/javanna/elasticshell, ,3
javanna/elasticshell,https://github.com/jprante/elasticsearch-oai,A javascript shell for elasticsearch,jprante/elasticsearch-oai,https://github.com/javanna/elasticshell,OAI client for Elasticsearch,3
javanna/elasticshell,https://github.com/jprante/elasticsearch-plugin-rdf-jena,A javascript shell for elasticsearch,jprante/elasticsearch-plugin-rdf-jena,https://github.com/javanna/elasticshell,Using Apache Jena API to store and retrieve RDF triples in Elasticsearch,3
javanna/elasticshell,https://github.com/ncolomer/elasticsearch-osmosis-plugin,A javascript shell for elasticsearch,ncolomer/elasticsearch-osmosis-plugin,https://github.com/javanna/elasticshell,An Osmosis plugin that index OpenStreetMap data into elasticsearch,3
javanna/elasticshell,https://github.com/searchbox-io/Jest,A javascript shell for elasticsearch,searchbox-io/Jest,https://github.com/javanna/elasticshell,Elasticsearch Java Rest Client.,3

jt6211/hadoop-dns-mining,https://github.com/asakusafw/asakusafw, ,asakusafw/asakusafw,https://github.com/jt6211/hadoop-dns-mining,Asakusa Framework,4
jt6211/hadoop-dns-mining,https://github.com/webdriverextensions/webdriverextensions, ,webdriverextensions/webdriverextensions,https://github.com/jt6211/hadoop-dns-mining,Make your WebDriver based Selenium tests more readable; reusability and maintainable by using WebDriver Extensions!,1
jt6211/hadoop-dns-mining,https://github.com/zserge/anvil-examples, ,zserge/anvil-examples,https://github.com/jt6211/hadoop-dns-mining,Short and descriptive examples for the Anvil MVC framework,2
jt6211/hadoop-dns-mining,https://github.com/endgameinc/elasticsearch-river-kafka, ,endgameinc/elasticsearch-river-kafka,https://github.com/jt6211/hadoop-dns-mining,Kafka River Plugin for ElasticSearch,2
jt6211/hadoop-dns-mining,https://github.com/pranab/beymani, ,pranab/beymani,https://github.com/jt6211/hadoop-dns-mining,Hadoop and Storm based outlier analysis implementations for cyber security and fraud detection,3

KEN-LJQ/WMS,https://github.com/bupt1987/JgFramework,一个基于Spring MVC、Spring、MyBatis、Shiro框架的仓库管理系统Demo。A warehouse management system implement with Spring MVC; Spring Framework;MyBstis;Shiro and MySQL   http://139.199.179.164:8080/WMS,bupt1987/JgFramework,https://github.com/KEN-LJQ/WMS,基于Netty的强大的游戏服务器框架,2
KEN-LJQ/WMS,https://github.com/shuaiweili/Dubbo-Zookeeper-Netty-SpringMVC,一个基于Spring MVC、Spring、MyBatis、Shiro框架的仓库管理系统Demo。A warehouse management system implement with Spring MVC; Spring Framework;MyBstis;Shiro and MySQL   http://139.199.179.164:8080/WMS,shuaiweili/Dubbo-Zookeeper-Netty-SpringMVC,https://github.com/KEN-LJQ/WMS,使用dubbo注册服务，netty做服务器，springmvc提供restful接口,3
KEN-LJQ/WMS,https://github.com/h819/spring-boot,一个基于Spring MVC、Spring、MyBatis、Shiro框架的仓库管理系统Demo。A warehouse management system implement with Spring MVC; Spring Framework;MyBstis;Shiro and MySQL   http://139.199.179.164:8080/WMS,h819/spring-boot,https://github.com/KEN-LJQ/WMS,A Spring Boot Framework based JavaEE application; a Java Commons Utils; and more java practice. </br> Spring Boot;Spring MVC;Spring JPA;Spring Security;Spring Oauth;Hibernate;QueryDSL;PO to DTO </br> ZTree;Fuelux Tree;jqgird;flexpaper,1
KEN-LJQ/WMS,https://github.com/LinuxSuRen/phoenix.webui.framework,一个基于Spring MVC、Spring、MyBatis、Shiro框架的仓库管理系统Demo。A warehouse management system implement with Spring MVC; Spring Framework;MyBstis;Shiro and MySQL   http://139.199.179.164:8080/WMS,LinuxSuRen/phoenix.webui.framework,https://github.com/KEN-LJQ/WMS,基于WebDriver的WebUI自动化测试框架,1
KEN-LJQ/WMS,https://github.com/white-cat/jeeweb-mybatis,一个基于Spring MVC、Spring、MyBatis、Shiro框架的仓库管理系统Demo。A warehouse management system implement with Spring MVC; Spring Framework;MyBstis;Shiro and MySQL   http://139.199.179.164:8080/WMS,white-cat/jeeweb-mybatis,https://github.com/KEN-LJQ/WMS,JEEWEB Mybatis版本是一款基于SpringMVC+Spring+Mybatis+Mybatis Plus的JAVA WEB敏捷开发系统；它是一款具有代码生成功能的智能快速开发平台；是以Spring Framework为核心容器，Spring MVC为模型视图控制器，Mybatis为数据访问层， Apache Shiro为权限授权层，Ehcahe对常用数据进行缓存，Disruptor作为并发框架，Bootstrap作为前端框架的优秀开源系统。,3

klarna/HiveRunner,https://github.com/pentaho/pentaho-hadoop-shims,An Open Source unit test framework for hadoop hive queries based on JUnit4,pentaho/pentaho-hadoop-shims,https://github.com/klarna/HiveRunner,Hadoop Configurations,2
klarna/HiveRunner,https://github.com/javanna/elasticshell,An Open Source unit test framework for hadoop hive queries based on JUnit4,javanna/elasticshell,https://github.com/klarna/HiveRunner,A javascript shell for elasticsearch,2
klarna/HiveRunner,https://github.com/AKSW/RDFUnit,An Open Source unit test framework for hadoop hive queries based on JUnit4,AKSW/RDFUnit,https://github.com/klarna/HiveRunner,An RDF Unit Testing Suite,2
klarna/HiveRunner,https://github.com/elastic/elasticsearch-support-diagnostics,An Open Source unit test framework for hadoop hive queries based on JUnit4,elastic/elasticsearch-support-diagnostics,https://github.com/klarna/HiveRunner,Support diagnostics utility for elasticsearch and logstash,3
klarna/HiveRunner,https://github.com/dianping/wormhole,An Open Source unit test framework for hadoop hive queries based on JUnit4,dianping/wormhole,https://github.com/klarna/HiveRunner, ,2

Knewton/KassandraMRHelper,https://github.com/eBay/cassandra-river,Library for processing Cassandra SSTables with Hadoop MapReduce.,eBay/cassandra-river,https://github.com/Knewton/KassandraMRHelper,Cassandra river for Elastic search.,2
