Query,Query url,Query description,Result,Result url,Result description,User evaluation
dadoonet/spring-elasticsearch,https://github.com/jprante/elasticsearch-plugin-rdf-jena,Spring factories for elasticsearch,jprante/elasticsearch-plugin-rdf-jena,https://github.com/dadoonet/spring-elasticsearch,Using Apache Jena API to store and retrieve RDF triples in Elasticsearch,3
dadoonet/spring-elasticsearch,https://github.com/pranab/chombo,Spring factories for elasticsearch,pranab/chombo,https://github.com/dadoonet/spring-elasticsearch,Big Data ETL and Utilities for Hadoop Map Reduce; Spark and Storm,2
dadoonet/spring-elasticsearch,https://github.com/pranab/avenir,Spring factories for elasticsearch,pranab/avenir,https://github.com/dadoonet/spring-elasticsearch,Set of Machine Learning and Stochastic Optimazion  tools based on Hadoop; Spark and Storm  https://pkghosh.wordpress.com/,2
dadoonet/spring-elasticsearch,https://github.com/bosondata/elasticsearch-analysis-bosonnlp,Spring factories for elasticsearch,bosondata/elasticsearch-analysis-bosonnlp,https://github.com/dadoonet/spring-elasticsearch,BosonNLP Analysis for ElasticSearch,2

datasalt/pangool,https://github.com/alexholmes/hiped2,Tuple MapReduce for Hadoop: Hadoop API made easy,alexholmes/hiped2,https://github.com/datasalt/pangool,Source code that accompanies the book 'Hadoop in Practice; Second Edition'.,2
datasalt/pangool,https://github.com/socrata/datasync,Tuple MapReduce for Hadoop: Hadoop API made easy,socrata/datasync,https://github.com/datasalt/pangool,Desktop / Console application for updating Socrata datasets automatically.,1
datasalt/pangool,https://github.com/hopshadoop/hops,Tuple MapReduce for Hadoop: Hadoop API made easy,hopshadoop/hops,https://github.com/datasalt/pangool,Hops Hadoop is a distribution of Apache Hadoop with distributed metadata.,3
datasalt/pangool,https://github.com/chubbyjiang/MapReduce,Tuple MapReduce for Hadoop: Hadoop API made easy,chubbyjiang/MapReduce,https://github.com/datasalt/pangool,MapReduce Demo,2
datasalt/pangool,https://github.com/alexholmes/hadoop-utils,Tuple MapReduce for Hadoop: Hadoop API made easy,alexholmes/hadoop-utils,https://github.com/datasalt/pangool,A set of Hadoop utilities to make working with Hadoop a little easier.,2

elastic/elasticsearch-metrics-reporter-java,https://github.com/jprante/elasticsearch-client,Metrics reporter; which reports to elasticsearch,jprante/elasticsearch-client,https://github.com/elastic/elasticsearch-metrics-reporter-java,ElasticSearch Client Project,2
elastic/elasticsearch-metrics-reporter-java,https://github.com/harshalbenake/hbworkspace1-100,Metrics reporter; which reports to elasticsearch,harshalbenake/hbworkspace1-100,https://github.com/elastic/elasticsearch-metrics-reporter-java,(1) Name :- accelormeterSensor Description :- Using acceloremeter sensor to print Sensor event values.  (2) Name :- ActionBarDropdownNavigation Description :- Action bar with dropdown navigation type.  (3) Name :- android-actionbar-master Description :- Action bar buttons like add/delete/show.  (4) Name :- Android Contact ListView Description :- Fake Contact listview.  (5) Name :- AndroidListViewActivity Description :- Listview by extending ListActivity.  (6) Name :- android-pulltorefresh-master Description :- Pulltorefresh demo.  (7) Name :- Android-PullToRefresh-master Description :- Pulltorefresh handmark demo.  (8) Name :- Android-Universal-Image-Loader-master Description :- Universal Image loader.  (9) Name :- AnimationAllInOne Description :- Animation like fade/zoom/rotate.  (10) Name :- arrayloop Description :- Different types of loops for arraylist items.  (11) Name :- autocompletetextimagedemo Description :- Autocomplete with image and text.  (12) Name :- BarcodeScanner Description :- Intent for Barcord scanner from google play.  (13) Name :- bluetoothtoggle Description :- Toggle on/off bluetooth.  (14) Name :- buttonpressed Description :-Status of button is pressed or not.  (15) Name :- call Description :- Using TelephonyManager to get device phone number.  (16) Name :- calling Description :- Intent to make call to specific number.  (17) Name :- cellid Description :- Get cellid to get location.  (18) Name :- Compass Description :- Google Glass - compass.  (19) Name :- countrycode Description :- Get country code using Locale.  (20) Name :- CustomLinkyfy Description :- Using custom linkyfy for various intents.  (21) Name :- customlistviewBaseAdapter Description :- Listview with custom base adapter.  (22) Name :- custompopup Description :- Dialog custom popup.  (23) Name :- CustomSpinner Description :- Custom spinner with default value.  (24) Name :- custom-ui Description :- Social Auth – custom UI.  (25) Name :- databaseFromAsset Description :- Access database from asset folder.  (26) Name :- dragndrop Description :- Drag and drop image demo.  (27) Name :- expandablelistview Description :- Expandable listview demo.  (28) Name :- flightmode Description :- Toggle on/off flight mode.  (29) Name :- FragmentsTest Description :- Simple Fragment demo.  (30) Name :- gallerydemo Description :- Image Gallery demo.  (31) Name :- GestureDetection Description :- Detect gestures from user.  (32) Name :- google image loader api complete Description :- Google image loader.  (33) Name :- gpsonoff Description :- Toggle on/off GPS.  (34) Name :- gpsonofstatus Description :- Get status of GPS on/off.  (35) Name :- Gridlayout Description :- Grid layout demo.  (36) Name :- gridviewsimple Description :- Simple grid view.  (37) Name :- gsondemo Description :- Gson demo.  (38) Name :- hbcustomlibaray Description :- Custom library demo.  (39) Name :- HBfragment Description :- Fragment demo with detail and list view.  (40) Name :- hideappfromlauncher Description :- Hide app icon from launcher.  (41) Name :- highlightedittext Description :- Highlight the selected text.  (42) Name :- home pressed Description :- Detect home button press.  (43) Name :- HorizontalScrollViewActivity Description :- Horizontal scroll view demo.  (44) Name :- ImageGridActivity Description :- Image grid using lru cache.  (45) Name :- imageloadergoogle Description :- Google Image loader for auto complete.  (46) Name :- imageloaderListViewWithJSONFromURL Description :- Image loader in listview pasring.  (47) Name :- InstalledAppNames Description :- Get list of installed apps.  (48) Name :- itemcount Description :- Item count calculation.  (49) Name :- jasondemo Description :- Jason parsing demo.  (50) Name :- jasonparsedemo Description :- Various kind of object json parsing using pojo.  (51) Name :- JSONExampleActivity Description :- Json parsing post.  (52) Name :- Jsonparsefromtxtfile Description :- Json parsing from txt file.  (53) Name :- layoutadddynamically Description :- Adding infinity layout dynamically on button press.  (54) Name :- layoutweightdemo Description :- Using layout weight for UI.  (55) Name :- Linkedin Description :- Linkedin integration.  (56) Name :- linkedinbest Description :- Linkedin integration.  (57) Name :- Listview_baseadapter_getItemViewType Description :- Listview with getitemview type for different ui view per listitem.  (58) Name :- LiveWallpaper Description :- Live Wallpaper demo.  (59) Name :- MyAndroidAppActivity Description :- Simple string buffer.  (60) Name :- mypopup Description :- Custom dailog.  (61) Name :- notification Description :- Simple notification demo.  (62) Name :- Notification_count Description :- Notification Badge count.  (63) Name :- Paginated ListView Demo Description :- Pagination for listview.  (64) Name :- PayPalSDKExample Description :- Paypal integration.  (65) Name :- PinItDemo Description :- Pint it integration.  (66) Name :- progressbardemo Description :- Progressbar demo.  (67) Name :- ProximatySensorDemo Description :- Using Proximaty sensor for printing values.  (68) Name :- pulltorefresh and dragndrop to gridview Description :- Pulltorefresh and drag n drop to gridview.  (69) Name :- readtextfile Description :- Read simple text file.  (70) Name :- recentRunningBackgroundAppList Description :- Get list of apps that were running recently.  (71) Name :- rfile Description :- Get id value from view using r file.  (72) Name :- ribbonsample Description :- Ribbon sample demo.  (73) Name :- roatation Description :- Get status of rotation on/off.  (74) Name :- rotatecenter Description :- Animate image rotation at center point.  (75) Name :- screenorientation Description :- Get status of screen orientation landscape/portrait.  (76) Name :- SdcardFormat Description :- Format sd card.  (77) Name :- selectspeed Description :- Select speed ui txtsheild.  (78) Name :- sendemail Description :- Send an email using intent.  (79) Name :- share-bar Description :- Social Auth – custom UI.  (80) Name :- share-button Description :- Social Auth – custom UI.  (81) Name :- sharemyapp Description :- Share app apk from device.  (82) Name :- signature Description :- Signature using image bitmap paint.  (83) Name :- SimpleListView Description :- Simple listview demo.  (84) Name :- smserrors Description :- Send sms and get various exceptions.  (85) Name :- socialauth-android Description :- Social Auth demo.  (86) Name :- Stopwatch Description :- Google Glass - Stopwatch.  (87) Name :- SwitchButton Description :- SwitchButton toggle on/off demo.  (88) Name :- textlink Description :- Text as a link url.  (89) Name :- Timer Description :- Google Glass - Timer.  (90) Name :- toggleButton Description :- Get status Toggle button on/off.  (91) Name :- triangledrawable Description :- Draw triangle using drawable xml.  (92) Name :- uninstallapp Description :- Uninstall app.  (93) Name :- unknownsource Description :- Toggle on/off unknown source flag.  (94) Name :- videodemo Description :- Simple video view to play rstp files.  (95) Name :- videoviewdemo Description :- Video view to play Youtube files.  (96) Name :- ViewPagerDemo Description :- Simple viewpager demo.  (97) Name :- ViewpagerInDialogPopup Description :- View pager inside Dialog pop.  (98) Name :- webviewnonxss Description :- You tube video play in webview using video id.  (99) Name :- webviewyoutubeapi Description :- Simple video play in webview.  (100) Name :- zoomtry Description :- Zoom in and zoom out animation.,1
elastic/elasticsearch-metrics-reporter-java,https://github.com/abashev/vfs-s3,Metrics reporter; which reports to elasticsearch,abashev/vfs-s3,https://github.com/elastic/elasticsearch-metrics-reporter-java,Amazon S3 driver for Apache commons-vfs (Virtual File System) project,1
elastic/elasticsearch-metrics-reporter-java,https://github.com/jenkinsci/acceptance-test-harness,Metrics reporter; which reports to elasticsearch,jenkinsci/acceptance-test-harness,https://github.com/elastic/elasticsearch-metrics-reporter-java,Acceptance tests cases for Jenkins and its plug-ins based on selenium and docker.,1
elastic/elasticsearch-metrics-reporter-java,https://github.com/hopshadoop/hops,Metrics reporter; which reports to elasticsearch,hopshadoop/hops,https://github.com/elastic/elasticsearch-metrics-reporter-java,Hops Hadoop is a distribution of Apache Hadoop with distributed metadata.,2

elastic/elasticsearch-support-diagnostics,https://github.com/psaravan/JamsMusicPlayer,Support diagnostics utility for elasticsearch and logstash,psaravan/JamsMusicPlayer,https://github.com/elastic/elasticsearch-support-diagnostics,A free; powerful and elegant music player for Android.,1
elastic/elasticsearch-support-diagnostics,https://github.com/jsonld-java/jsonld-java,Support diagnostics utility for elasticsearch and logstash,jsonld-java/jsonld-java,https://github.com/elastic/elasticsearch-support-diagnostics,JSON-LD implementation for Java,1
elastic/elasticsearch-support-diagnostics,https://github.com/h819/spring-boot,Support diagnostics utility for elasticsearch and logstash,h819/spring-boot,https://github.com/elastic/elasticsearch-support-diagnostics,A Spring Boot Framework based JavaEE application; a Java Commons Utils; and more java practice. </br> Spring Boot;Spring MVC;Spring JPA;Spring Security;Spring Oauth;Hibernate;QueryDSL;PO to DTO </br> ZTree;Fuelux Tree;jqgird;flexpaper,1
elastic/elasticsearch-support-diagnostics,https://github.com/AxonFramework/AxonBank,Support diagnostics utility for elasticsearch and logstash,AxonFramework/AxonBank,https://github.com/elastic/elasticsearch-support-diagnostics,Simple virtual bank application to showcase features of Axon Framework,1
elastic/elasticsearch-support-diagnostics,https://github.com/mozilla-metrics/akela,Support diagnostics utility for elasticsearch and logstash,mozilla-metrics/akela,https://github.com/elastic/elasticsearch-support-diagnostics,A bunch of utility classes for Java; Hadoop; HBase; Pig; etc.,2

GoogleCloudPlatform/bigdata-interop,https://github.com/benas/todolist-mvc,Libraries and tools for interoperability between Hadoop-related open-source software and Google Cloud Platform.,benas/todolist-mvc,https://github.com/GoogleCloudPlatform/bigdata-interop,Helping you select a Java MVC framework,1
GoogleCloudPlatform/bigdata-interop,https://github.com/neuroph/neuroph,Libraries and tools for interoperability between Hadoop-related open-source software and Google Cloud Platform.,neuroph/neuroph,https://github.com/GoogleCloudPlatform/bigdata-interop,Java Neural Network Framework Neuroph,1
GoogleCloudPlatform/bigdata-interop,https://github.com/Esri/spatial-framework-for-hadoop,Libraries and tools for interoperability between Hadoop-related open-source software and Google Cloud Platform.,Esri/spatial-framework-for-hadoop,https://github.com/GoogleCloudPlatform/bigdata-interop,The Spatial Framework for Hadoop allows developers and data scientists to use the Hadoop data processing system for spatial data analysis.,2
GoogleCloudPlatform/bigdata-interop,https://github.com/Azure/azure-documentdb-hadoop,Libraries and tools for interoperability between Hadoop-related open-source software and Google Cloud Platform.,Azure/azure-documentdb-hadoop,https://github.com/GoogleCloudPlatform/bigdata-interop, ,3
GoogleCloudPlatform/bigdata-interop,https://github.com/mozilla-metrics/akela,Libraries and tools for interoperability between Hadoop-related open-source software and Google Cloud Platform.,mozilla-metrics/akela,https://github.com/GoogleCloudPlatform/bigdata-interop,A bunch of utility classes for Java; Hadoop; HBase; Pig; etc.,3

huangchen007/elasticsearch-rest-command,https://github.com/epam/Wilma,Restful pipeline command support plugin for Elasticsearch,epam/Wilma,https://github.com/huangchen007/elasticsearch-rest-command,Service Virtualization Solution – a combined Service Stub and Transparent Proxy,1
huangchen007/elasticsearch-rest-command,https://github.com/msgpack/msgpack-hadoop,Restful pipeline command support plugin for Elasticsearch,msgpack/msgpack-hadoop,https://github.com/huangchen007/elasticsearch-rest-command,MessagePack-Hadoop integration provides an efficient schema-free data representation for Hadoop and Hive.,1
huangchen007/elasticsearch-rest-command,https://github.com/AskNowQA/AutoSPARQL,Restful pipeline command support plugin for Elasticsearch,AskNowQA/AutoSPARQL,https://github.com/huangchen007/elasticsearch-rest-command,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,2
huangchen007/elasticsearch-rest-command,https://github.com/dianping/wormhole,Restful pipeline command support plugin for Elasticsearch,dianping/wormhole,https://github.com/huangchen007/elasticsearch-rest-command, ,1
huangchen007/elasticsearch-rest-command,https://github.com/fivesmallq/web-data-extractor,Restful pipeline command support plugin for Elasticsearch,fivesmallq/web-data-extractor,https://github.com/huangchen007/elasticsearch-rest-command,Extracting  and parsing structured data with jQuery Selector; XPath or JsonPath from common web format like HTML; XML and JSON.,1

javanna/elasticsearch-river-solr,https://github.com/octo-technology/sonar-objective-c,Solr River plugin for elasticsearch,octo-technology/sonar-objective-c,https://github.com/javanna/elasticsearch-river-solr,Sonar Plugin for Objective C,1
javanna/elasticsearch-river-solr,https://github.com/klarna/HiveRunner,Solr River plugin for elasticsearch,klarna/HiveRunner,https://github.com/javanna/elasticsearch-river-solr,An Open Source unit test framework for hadoop hive queries based on JUnit4,1
javanna/elasticsearch-river-solr,https://github.com/sikuli/sikuli-slides,Solr River plugin for elasticsearch,sikuli/sikuli-slides,https://github.com/javanna/elasticsearch-river-solr,Sikuli-Slides is a visual automation tool that enables users to automate and test Graphical User Interfaces (GUIs) using presentation slides.,1
javanna/elasticsearch-river-solr,https://github.com/childe/hangout,Solr River plugin for elasticsearch,childe/hangout,https://github.com/javanna/elasticsearch-river-solr,用java实现一下Logstash的几个常用input/filter/output; 希望能有效率上面的大提升,2
